x,test_data,pred1,pred2,threshold
0,0.9691216,0.9691216,0.9691216,0.7
1,0.975518222,0.975518222,0.975518222,0.7
2,0.975379822,0.975379822,0.975379822,0.7
3,0.9753224,0.9753224,0.9753224,0.7
4,0.973943289,0.973943289,0.973943289,0.7
5,0.973236889,0.973236889,0.973236889,0.7
6,0.970809422,0.970809422,0.970809422,0.7
7,0.971482667,0.971482667,0.971482667,0.7
8,0.972841067,0.972841067,0.972841067,0.7
9,0.9730648,0.9730648,0.9730648,0.7
10,0.972236178,0.972236178,0.972236178,0.7
11,0.972230933,0.972230933,0.972230933,0.7
12,0.970667111,0.970667111,0.970667111,0.7
13,0.970549333,0.970549333,0.970549333,0.7
14,0.969691822,0.969691822,0.969691822,0.7
15,0.968441778,0.968441778,0.968441778,0.7
16,0.965692089,0.965692089,0.965692089,0.7
17,0.964937333,0.964937333,0.964937333,0.7
18,0.962823467,0.962823467,0.962823467,0.7
19,0.961588711,0.961588711,0.961588711,0.7
20,0.9591992,0.9591992,0.9591992,0.7
21,0.957930933,0.957930933,0.957930933,0.7
22,0.956707733,0.956707733,0.956707733,0.7
23,0.955012178,0.955012178,0.955012178,0.7
24,0.952809956,0.952809956,0.952809956,0.7
25,0.948444,0.948444,0.948444,0.7
26,0.948144889,0.948144889,0.948144889,0.7
27,0.946106222,0.946106222,0.946106222,0.7
28,0.942721778,0.942721778,0.942721778,0.7
29,0.941328978,0.941328978,0.941328978,0.7
30,0.940878578,0.940878578,0.940878578,0.7
31,0.938660178,0.938660178,0.938660178,0.7
32,0.937439911,0.937439911,0.937439911,0.7
33,0.9367848,0.9367848,0.9367848,0.7
34,0.935914044,0.935914044,0.935914044,0.7
35,0.933828711,0.933828711,0.933828711,0.7
36,0.932288,0.932288,0.932288,0.7
37,0.931532533,0.931532533,0.931532533,0.7
38,0.928727022,0.928727022,0.928727022,0.7
39,0.927063733,0.927063733,0.927063733,0.7
40,0.926010133,0.926010133,0.926010133,0.7
41,0.92682,0.92682,0.92682,0.7
42,0.926233689,0.926233689,0.926233689,0.7
43,0.927579733,0.927579733,0.927579733,0.7
44,0.925688889,0.925688889,0.925688889,0.7
45,0.923586222,0.923586222,0.923586222,0.7
46,0.923173511,0.923173511,0.923173511,0.7
47,0.9228336,0.9228336,0.9228336,0.7
48,0.921276,0.921276,0.921276,0.7
49,0.920167556,0.920167556,0.920167556,0.7
50,0.918608267,0.918608267,0.918608267,0.7
51,0.918056356,0.918056356,0.918056356,0.7
52,0.916783733,0.916783733,0.916783733,0.7
53,0.917761422,0.917761422,0.917761422,0.7
54,0.920007822,0.920007822,0.920007822,0.7
55,0.920455289,0.920455289,0.920455289,0.7
56,0.921401156,0.921401156,0.921401156,0.7
57,0.920571467,0.920571467,0.920571467,0.7
58,0.919459111,0.919459111,0.919459111,0.7
59,0.919264978,0.919264978,0.919264978,0.7
60,0.919291289,0.919291289,0.919291289,0.7
61,0.918429067,0.918429067,0.918429067,0.7
62,0.917261778,0.917261778,0.917261778,0.7
63,0.916288267,0.916288267,0.916288267,0.7
64,0.9179528,0.9179528,0.9179528,0.7
65,0.918375822,0.926606596,0.927818835,0.7
66,0.9201248,0.92503202,0.926606596,0.7
67,0.922067911,0.925487518,0.925329387,0.7
68,0.9221896,0.924781084,0.924855173,0.7
69,0.9227456,0.924399912,0.92413795,0.7
70,0.921211467,0.92364502,0.923301816,0.7
71,0.922490667,0.923459888,0.922754049,0.7
72,0.921164889,0.922715545,0.922632337,0.7
73,0.919973333,0.923043489,0.92193085,0.7
74,0.919940178,0.92289263,0.922084987,0.7
75,0.919690311,0.921775818,0.921607018,0.7
76,0.918270756,0.921167433,0.921115935,0.7
77,0.919088267,0.921085,0.920508146,0.7
78,0.920958933,0.920943975,0.920207918,0.7
79,0.921177511,0.921048641,0.919862628,0.7
80,0.921097689,0.920226634,0.919428647,0.7
81,0.920347022,0.919804811,0.919084728,0.7
82,0.919734844,0.918987095,0.918749392,0.7
83,0.9193936,0.91946125,0.918379903,0.7
84,0.918876,0.919165611,0.918376803,0.7
85,0.917712711,0.919586599,0.918343902,0.7
86,0.917348711,0.919122696,0.918193638,0.7
87,0.917456889,0.919338822,0.918142855,0.7
88,0.918927467,0.918808162,0.918106675,0.7
89,0.919578044,0.919685602,0.917797029,0.7
90,0.920966667,0.919397891,0.917993367,0.7
91,0.923248711,0.918716311,0.917500317,0.7
92,0.923499822,0.918178082,0.917532027,0.7
93,0.924426311,0.918337941,0.917590618,0.7
94,0.923446489,0.91820997,0.917660713,0.7
95,0.923727644,0.918725133,0.917618513,0.7
96,0.922801067,0.91836077,0.918023467,0.7
97,0.922161689,0.918417573,0.918288171,0.7
98,0.922913778,0.917820811,0.918480217,0.7
99,0.922585422,0.918295801,0.918405831,0.7
100,0.922950222,0.917733014,0.91864574,0.7
101,0.9240664,0.918153644,0.918735921,0.7
102,0.924068444,0.917587876,0.91848892,0.7
103,0.9238584,0.917966485,0.918687284,0.7
104,0.924449511,0.917408168,0.918874919,0.7
105,0.924539911,0.917980313,0.918690503,0.7
106,0.924064711,0.917758465,0.918901145,0.7
107,0.923161067,0.917104721,0.918871522,0.7
108,0.922214578,0.9169631,0.919072509,0.7
109,0.921208711,0.917126656,0.919302881,0.7
110,0.921905689,0.916913986,0.91955626,0.7
111,0.920970489,0.917278171,0.919622242,0.7
112,0.920706933,0.916663647,0.91958046,0.7
113,0.920123822,0.916690826,0.919859588,0.7
114,0.920303022,0.916103363,0.919867337,0.7
115,0.919321067,0.916412413,0.919625878,0.7
116,0.918102933,0.915734649,0.919592023,0.7
117,0.917519822,0.916164875,0.919542372,0.7
118,0.915885333,0.915521622,0.919188797,0.7
119,0.914612089,0.915902078,0.919245183,0.7
120,0.913832,0.91552341,0.919337153,0.7
121,0.913660178,0.915658355,0.918799639,0.7
122,0.911664622,0.915178895,0.91866982,0.7
123,0.911396622,0.914994061,0.918418646,0.7
124,0.912572444,0.914884329,0.918522,0.7
125,0.912188,0.914814889,0.918059468,0.7
126,0.912249244,0.914440334,0.917688847,0.7
127,0.910334222,0.914815784,0.917473674,0.7
128,0.908731911,0.914322495,0.91691798,0.7
129,0.907258667,0.914366603,0.9169873,0.7
130,0.908200978,0.914154589,0.916830659,0.7
131,0.907716533,0.914123595,0.916361809,0.7
132,0.907070311,0.913431406,0.915516376,0.7
133,0.906714044,0.913808882,0.915218949,0.7
134,0.9058496,0.913332283,0.914721012,0.7
135,0.906932889,0.913679004,0.914619803,0.7
136,0.906573689,0.913188577,0.914143443,0.7
137,0.907161333,0.913120449,0.913301229,0.7
138,0.9064944,0.912573814,0.912730098,0.7
139,0.907802667,0.912851214,0.91237253,0.7
140,0.907580622,0.91255182,0.912372589,0.7
141,0.907957333,0.912637293,0.91157937,0.7
142,0.907345867,0.912260056,0.911185741,0.7
143,0.906589067,0.912186682,0.910642803,0.7
144,0.904813422,0.911834359,0.910199165,0.7
145,0.904090844,0.911961675,0.910214067,0.7
146,0.904900356,0.911582232,0.910038769,0.7
147,0.904012089,0.911602378,0.909344971,0.7
148,0.903900356,0.911092043,0.908221126,0.7
149,0.903181333,0.911366224,0.908003449,0.7
150,0.903297333,0.91083622,0.90731883,0.7
151,0.902479467,0.91106391,0.907051623,0.7
152,0.901730667,0.910559356,0.906389236,0.7
153,0.900390311,0.910546303,0.905521631,0.7
154,0.899467822,0.910092473,0.904965222,0.7
155,0.8982712,0.910270512,0.904827476,0.7
156,0.896771111,0.909843564,0.904873788,0.7
157,0.895903644,0.909867287,0.903924584,0.7
158,0.895623556,0.909543693,0.903228641,0.7
159,0.895593511,0.909489334,0.902369082,0.7
160,0.895587733,0.909154177,0.901664972,0.7
161,0.895815022,0.909175098,0.901550531,0.7
162,0.894140178,0.90869081,0.901077688,0.7
163,0.893285244,0.908758402,0.900276005,0.7
164,0.893096889,0.908350229,0.899524927,0.7
165,0.892349333,0.908521652,0.899174631,0.7
166,0.892311111,0.90798676,0.898616254,0.7
167,0.891037156,0.908101141,0.89811635,0.7
168,0.890340889,0.907599211,0.897595108,0.7
169,0.889732267,0.907639861,0.896701515,0.7
170,0.888644711,0.907235622,0.896131396,0.7
171,0.8880576,0.907328844,0.895826638,0.7
172,0.888370311,0.906839669,0.895556986,0.7
173,0.887562222,0.906867981,0.894654632,0.7
174,0.885477956,0.906499743,0.893864632,0.7
175,0.883338222,0.906466663,0.893056273,0.7
176,0.882971111,0.906087399,0.892514586,0.7
177,0.881945956,0.906053066,0.892009556,0.7
178,0.880027467,0.905572176,0.891098201,0.7
179,0.880189244,0.905653954,0.890262485,0.7
180,0.876789689,0.905260742,0.889407516,0.7
181,0.875647467,0.905295193,0.888865829,0.7
182,0.874144978,0.904806435,0.888235033,0.7
183,0.873039556,0.904837489,0.887089312,0.7
184,0.870397156,0.904342413,0.886078358,0.7
185,0.868807822,0.904416561,0.884786963,0.7
186,0.866694133,0.903973699,0.884115636,0.7
187,0.864449689,0.903969526,0.88320756,0.7
188,0.864011467,0.903482199,0.882154584,0.7
189,0.862808711,0.903513908,0.880673051,0.7
190,0.861440978,0.903093934,0.879234195,0.7
191,0.857906222,0.903039336,0.878196061,0.7
192,0.856335822,0.90263474,0.877213418,0.7
193,0.856884533,0.902568102,0.876128078,0.7
194,0.856354489,0.902126193,0.874588668,0.7
195,0.856856978,0.902167797,0.873098791,0.7
196,0.856769333,0.901727021,0.871733069,0.7
197,0.857138844,0.901702642,0.870655656,0.7
198,0.858080089,0.901231527,0.869946182,0.7
199,0.858273156,0.90122062,0.868508101,0.7
200,0.858692178,0.900731742,0.867098808,0.7
201,0.857435822,0.900770128,0.865902543,0.7
202,0.857626933,0.900273919,0.865455031,0.7
203,0.856685867,0.900238097,0.86477381,0.7
204,0.855320178,0.899796665,0.863647223,0.7
