x,test_data,pred1,pred2,threshold
0,1.126384507,1.126384507,1.126384507,0.77
1,1.126159816,1.126159816,1.126159816,0.77
2,1.125965708,1.125965708,1.125965708,0.77
3,1.118507686,1.118507686,1.118507686,0.77
4,1.117210075,1.117210075,1.117210075,0.77
5,1.113753551,1.113753551,1.113753551,0.77
6,1.098818144,1.098818144,1.098818144,0.77
7,1.096180326,1.096180326,1.096180326,0.77
8,1.08987113,1.08987113,1.08987113,0.77
9,1.087582295,1.087582295,1.087582295,0.77
10,1.094747895,1.094747895,1.094747895,0.77
11,1.095568286,1.095568286,1.095568286,0.77
12,1.095432918,1.095432918,1.095432918,0.77
13,1.095223222,1.095223222,1.095223222,0.77
14,1.094804056,1.094804056,1.094804056,0.77
15,1.094444882,1.094444882,1.094444882,0.77
16,1.094044211,1.094044211,1.094044211,0.77
17,1.093461422,1.093461422,1.093461422,0.77
18,1.092733219,1.092733219,1.092733219,0.77
19,1.088853679,1.088853679,1.088853679,0.77
20,1.088381413,1.088381413,1.088381413,0.77
21,1.087994962,1.087994962,1.087994962,0.77
22,1.087629019,1.087629019,1.087629019,0.77
23,1.087233549,1.087233549,1.087233549,0.77
24,1.08679975,1.08679975,1.08679975,0.77
25,1.086397688,1.086397688,1.086397688,0.77
26,1.07646084,1.07646084,1.07646084,0.77
27,1.068281322,1.068281322,1.068281322,0.77
28,1.06187103,1.06187103,1.06187103,0.77
29,1.060449954,1.060449954,1.060449954,0.77
30,1.059070352,1.059070352,1.059070352,0.77
31,1.068431632,1.068431632,1.068431632,0.77
32,1.069764576,1.069764576,1.069764576,0.77
33,1.061246736,1.061246736,1.061246736,0.77
34,1.052803839,1.052803839,1.052803839,0.77
35,1.051496984,1.051496984,1.051496984,0.77
36,1.050788537,1.050788537,1.050788537,0.77
37,1.049771042,1.049771042,1.049771042,0.77
38,1.059165526,1.059165526,1.059165526,0.77
39,1.060456277,1.060456277,1.060456277,0.77
40,1.057632133,1.057632133,1.057632133,0.77
41,1.048273703,1.048273703,1.048273703,0.77
42,1.043392805,1.043392805,1.043392805,0.77
43,1.042916764,1.042916764,1.042916764,0.77
44,1.042017256,1.042017256,1.042017256,0.77
45,1.04972441,1.04972441,1.04972441,0.77
46,1.051906223,1.051906223,1.051906223,0.77
47,1.056326663,1.056326663,1.056326663,0.77
48,1.041467215,1.041467215,1.041467215,0.77
49,1.041002884,1.041002884,1.041002884,0.77
50,1.040485113,1.040485113,1.040485113,0.77
51,1.039212144,1.039212144,1.039212144,0.77
52,1.086998241,1.086998241,1.086998241,0.77
53,1.08060739,1.08060739,1.08060739,0.77
54,1.086749406,1.086749406,1.086749406,0.77
55,1.086558905,1.086558905,1.086558905,0.77
56,1.077421786,1.077421786,1.077421786,0.77
57,1.070168259,1.070168259,1.070168259,0.77
58,1.068724015,1.068724015,1.068724015,0.77
59,1.059973758,1.059973758,1.059973758,0.77
60,1.060902188,1.060902188,1.060902188,0.77
61,1.05967818,1.05967818,1.05967818,0.77
62,1.051177013,1.051177013,1.051177013,0.77
63,1.050114387,1.050114387,1.050114387,0.77
64,1.044345654,1.044345654,1.044345654,0.77
65,1.043579684,1.053058988,1.054296988,0.77
66,1.04143387,1.052312464,1.053058988,0.77
67,1.042326438,1.053073084,1.051762503,0.77
68,1.041955783,1.052144682,1.051711756,0.77
69,1.034641963,1.050924319,1.050215364,0.77
70,1.033443463,1.050386029,1.048558205,0.77
71,1.03291745,1.049065089,1.047076303,0.77
72,1.032427234,1.048193926,1.044540638,0.77
73,1.025694489,1.047875345,1.04295665,0.77
74,1.03208333,1.047333121,1.042058736,0.77
75,1.031910898,1.046603382,1.040397251,0.77
76,1.031384485,1.046645343,1.038709146,0.77
77,1.030364006,1.045977038,1.038218522,0.77
78,1.025377354,1.045726317,1.036975998,0.77
79,1.025316924,1.045531458,1.036174071,0.77
80,1.024726664,1.045359153,1.035210592,0.77
81,1.023678922,1.045392853,1.034081298,0.77
82,1.023080049,1.04509722,1.033328873,0.77
83,1.022644748,1.045369905,1.032514554,0.77
84,1.02209035,1.044621807,1.032046551,0.77
85,1.021515457,1.043877774,1.030387425,0.77
86,1.016603677,1.04366495,1.029207844,0.77
87,1.021017053,1.042995399,1.02856524,0.77
88,1.015750462,1.042495269,1.026995546,0.77
89,1.015133512,1.041724354,1.025843108,0.77
90,1.014788483,1.041562998,1.024605829,0.77
91,1.00553917,1.040849125,1.023736501,0.77
92,1.004114978,1.040916789,1.022158283,0.77
93,0.998737579,1.040546674,1.021160644,0.77
94,0.997843762,1.040685934,1.0193241,0.77
95,1.016196169,1.040723109,1.017877144,0.77
96,1.015518543,1.04057762,1.016567874,0.77
97,1.014263594,1.040567589,1.015987164,0.77
98,1.022954003,1.040233994,1.015912944,0.77
99,1.023095879,1.040529102,1.015395701,0.77
100,1.013637451,1.0400828,1.015577251,0.77
101,1.042110101,1.039515924,1.015740901,0.77
102,1.041562374,1.038717473,1.015295583,0.77
103,1.04968097,1.038095194,1.015662813,0.77
104,1.050218967,1.03731674,1.016919827,0.77
105,1.034513942,1.036167842,1.018071413,0.77
106,1.034205858,1.035295039,1.018854326,0.77
107,1.034671846,1.034507537,1.019317937,0.77
108,1.033362148,1.034072053,1.019690019,0.77
109,1.032349956,1.033577496,1.020056528,0.77
110,1.041169381,1.033052319,1.020540464,0.77
111,1.041413811,1.032449841,1.021055675,0.77
112,1.031678125,1.032319301,1.021289283,0.77
113,1.025124551,1.032037961,1.022731847,0.77
114,1.0237632,1.031551075,1.023598486,0.77
115,1.023033828,1.031400996,1.022928739,0.77
116,1.016824986,1.030827302,1.022350258,0.77
117,1.03089167,1.030620903,1.022591931,0.77
118,1.031329277,1.030173355,1.022125763,0.77
119,1.021634639,1.029734921,1.021828753,0.77
120,1.013692987,1.029326516,1.022770661,0.77
121,1.01405069,1.029009444,1.021714079,0.77
122,1.007424739,1.028644639,1.020770401,0.77
123,1.014495475,1.028295308,1.020459688,0.77
124,1.021236116,1.027911752,1.019882584,0.77
125,1.021451952,1.027509773,1.018928415,0.77
126,1.021308149,1.027199912,1.018956673,0.77
127,1.021086871,1.026762855,1.019095999,0.77
128,1.020821496,1.026436472,1.018535614,0.77
129,1.020985153,1.026015741,1.018559808,0.77
130,1.020792862,1.025625169,1.018992931,0.77
131,1.020496332,1.025190997,1.018713427,0.77
132,1.019993246,1.024795902,1.018097115,0.77
133,1.015980809,1.024380744,1.018484277,0.77
134,1.015687961,1.023936868,1.018397009,0.77
135,1.015556833,1.023533183,1.017226017,0.77
136,1.015508283,1.023137695,1.01690855,0.77
137,1.015482734,1.022751844,1.016085577,0.77
138,1.015929979,1.022348946,1.015731394,0.77
139,1.019976881,1.02197929,1.015605313,0.77
140,0.997404301,1.021615535,1.015861475,0.77
141,0.998209455,1.021253878,1.015626687,0.77
142,0.996540209,1.020889664,1.014681238,0.77
143,0.996021494,1.020497322,1.013208121,0.77
144,0.994604208,1.020117241,1.011832303,0.77
145,1.004795305,1.019724572,1.011101252,0.77
146,1.005341906,1.019335443,1.010052866,0.77
147,0.989225445,1.018923497,1.009173703,0.77
148,0.987830348,1.018496603,1.008761626,0.77
149,0.995296661,1.018054235,1.007371908,0.77
150,1.004763953,1.017643142,1.005457735,0.77
151,1.004959506,1.017242801,1.004212916,0.77
152,0.98880227,1.016814792,1.003761172,0.77
153,0.994025599,1.016399372,1.00290345,0.77
154,0.994377146,1.015983886,1.001179284,0.77
155,0.993822862,1.015620065,0.999829298,0.77
156,0.994604013,1.015249294,0.999126899,0.77
157,1.0029174,1.014878458,0.998263472,0.77
158,1.003949833,1.014510572,0.997394079,0.77
159,0.989122408,1.014147538,0.99652108,0.77
160,0.988369608,1.013797092,0.996652603,0.77
161,0.987290123,1.013445336,0.996174961,0.77
162,0.988344279,1.013087547,0.995110381,0.77
163,0.996608939,1.012704974,0.993522787,0.77
164,1.002802835,1.012319583,0.992412442,0.77
165,1.003350892,1.011966121,0.992397821,0.77
166,0.987069291,1.011613381,0.992786098,0.77
167,0.988744929,1.011213827,0.993431783,0.77
168,0.995114008,1.010840827,0.992264003,0.77
169,1.003506223,1.010494775,0.991359138,0.77
170,1.003696885,1.010103351,0.991621071,0.77
171,1.003872604,1.009731662,0.991888118,0.77
172,1.004058067,1.009390265,0.99226892,0.77
173,1.004254427,1.009004939,0.992646509,0.77
