x,真实值,pred1,pred2,失效阈值
0,1.856487421,1.856487421,1.856487421,1.4
1,1.84632725,1.84632725,1.84632725,1.4
2,1.835349194,1.835349194,1.835349194,1.4
3,1.835262528,1.835262528,1.835262528,1.4
4,1.834645508,1.834645508,1.834645508,1.4
5,1.83566166,1.83566166,1.83566166,1.4
6,1.835146143,1.835146143,1.835146143,1.4
7,1.825756791,1.825756791,1.825756791,1.4
8,1.824773853,1.824773853,1.824773853,1.4
9,1.824613268,1.824613268,1.824613268,1.4
10,1.824619553,1.824619553,1.824619553,1.4
11,1.814201936,1.814201936,1.814201936,1.4
12,1.813752158,1.813752158,1.813752158,1.4
13,1.813440491,1.813440491,1.813440491,1.4
14,1.802598004,1.802598004,1.802598004,1.4
15,1.8021069,1.8021069,1.8021069,1.4
16,1.802579501,1.802579501,1.802579501,1.4
17,1.803068314,1.793964863,1.796315908,1.4
18,1.802777625,1.790214062,1.793964863,1.4
19,1.847025995,1.786389947,1.792263031,1.4
20,1.847417311,1.78278923,1.790689588,1.4
21,1.836177421,1.779155135,1.799518585,1.4
22,1.825780748,1.775639296,1.805647492,1.4
23,1.825113644,1.771811604,1.807136416,1.4
24,1.825581504,1.768166065,1.806442857,1.4
25,1.814031128,1.76476419,1.806468368,1.4
26,1.814769194,1.760982037,1.806455612,1.4
27,1.813969389,1.757239699,1.803388953,1.4
28,1.802765665,1.753731608,1.801382542,1.4
29,1.80407704,1.750065804,1.800373793,1.4
30,1.851802552,1.746434093,1.796782613,1.4
31,1.830703846,1.742801905,1.793708801,1.4
32,1.819904109,1.739209175,1.80378437,1.4
33,1.809307964,1.735564351,1.805736303,1.4
34,1.804609905,1.731965661,1.804315329,1.4
35,1.799377065,1.728401542,1.801949263,1.4
36,1.788443234,1.724842668,1.799222827,1.4
37,1.782923048,1.721251965,1.795289278,1.4
38,1.773033716,1.717720747,1.789393187,1.4
39,1.773037755,1.714155197,1.784039378,1.4
40,1.767872111,1.710592151,1.778473139,1.4
41,1.76231507,1.707057953,1.773658276,1.4
42,1.767617292,1.70349896,1.768122554,1.4
43,1.76266836,1.699946284,1.764312029,1.4
44,1.751730487,1.696422338,1.761873722,1.4
45,1.741849605,1.692866325,1.759044647,1.4
46,1.736091351,1.689314246,1.754067659,1.4
47,1.793624015,1.685789585,1.74806726,1.4
48,1.783189022,1.682233095,1.741865158,1.4
49,1.767364208,1.678748965,1.750243783,1.4
50,1.757017785,1.675222278,1.75338614,1.4
51,1.746870618,1.671654463,1.750994802,1.4
52,1.741717251,1.668172121,1.748289824,1.4
53,1.736422506,1.664640427,1.74433279,1.4
54,1.726321724,1.661134601,1.739653945,1.4
55,1.715806539,1.657630205,1.735128284,1.4
56,1.710533351,1.654081941,1.729446769,1.4
57,1.7060145,1.650582075,1.723122835,1.4
58,1.700311027,1.647074938,1.71710968,1.4
59,1.69457986,1.643573642,1.710376143,1.4
60,1.684902909,1.640077472,1.705610514,1.4
61,1.674474159,1.636542916,1.70014286,1.4
62,1.674569248,1.633058429,1.694002151,1.4
63,1.663716376,1.62955606,1.687086701,1.4
64,1.659013869,1.626055956,1.681613207,1.4
65,1.653854057,1.622560501,1.674150586,1.4
66,1.642653782,1.619094729,1.667299151,1.4
67,1.637857843,1.615609646,1.661098123,1.4
68,1.632735041,1.612097263,1.653555393,1.4
69,1.627752892,1.60860014,1.646717072,1.4
70,1.622125486,1.605101347,1.640370607,1.4
71,1.61132566,1.601629257,1.634194732,1.4
72,1.60656314,1.598123431,1.628247857,1.4
73,1.601514223,1.594604254,1.621148109,1.4
74,1.590369231,1.591109991,1.614480376,1.4
75,1.585788997,1.587608814,1.608521461,1.4
76,1.584943071,1.584113598,1.600977659,1.4
77,1.595526389,1.580625176,1.594254732,1.4
78,1.574730175,1.577158332,1.589160442,1.4
79,1.564901995,1.573671818,1.587384343,1.4
80,1.559765947,1.570156932,1.580857635,1.4
81,1.559481567,1.566657305,1.573509932,1.4
82,1.554689354,1.563155532,1.567319989,1.4
83,1.548874108,1.5596807,1.562476873,1.4
84,1.538236599,1.556172848,1.557168961,1.4
85,1.527914258,1.55272162,1.551774502,1.4
86,1.528525263,1.549226046,1.545360446,1.4
87,1.522647325,1.545715094,1.538095951,1.4
88,1.517485994,1.542224169,1.532639027,1.4
89,1.605818899,1.538734436,1.526859641,1.4
90,1.563849145,1.535264254,1.521760225,1.4
91,1.548091525,1.531760931,1.538101792,1.4
92,1.532375563,1.528314233,1.539629817,1.4
93,1.526952827,1.524823427,1.535756826,1.4
94,1.516957302,1.521317244,1.531521559,1.4
95,1.511897596,1.517831445,1.527018547,1.4
96,1.506563896,1.514347196,1.520784855,1.4
97,1.501545353,1.510882616,1.514927506,1.4
98,1.490844405,1.507385731,1.509334683,1.4
99,1.485868385,1.503945589,1.504619837,1.4
100,1.480413678,1.500461698,1.498065948,1.4
101,1.475209587,1.496964455,1.490502834,1.4
102,1.485903599,1.493488789,1.487054348,1.4
103,1.49609183,1.490015388,1.481412172,1.4
104,1.480800595,1.486562252,1.480271935,1.4
105,1.469754327,1.483077765,1.481109858,1.4
106,1.453901227,1.47965014,1.477599382,1.4
107,1.454146207,1.476180315,1.471345425,1.4
108,1.455023752,1.47276628,1.463857532,1.4
109,1.449042164,1.469304562,1.458277941,1.4
110,1.438670937,1.465906024,1.454306126,1.4
111,1.433445432,1.462473154,1.449438334,1.4
112,1.43339589,1.459062934,1.443534732,1.4
113,1.428064873,1.455652595,1.438107014,1.4
114,1.422920318,1.452239633,1.433686018,1.4
115,1.417429033,1.448840737,1.42903471,1.4
116,1.412409229,1.445441961,1.424696445,1.4
117,1.412578793,1.442060232,1.420001864,1.4
118,1.407598373,1.438670993,1.415504694,1.4
119,1.433392049,1.435298681,1.411574364,1.4
120,1.438255018,1.431916833,1.407242537,1.4
121,1.417354717,1.428550363,1.409836173,1.4
122,1.406981664,1.425175428,1.412816763,1.4
123,1.401203778,1.421816707,1.409449458,1.4
124,1.396700823,1.418449402,1.405091524,1.4
125,1.391284789,1.41509831,1.401151776,1.4
126,1.386228768,1.411738515,1.396648645,1.4
127,1.380436676,1.408465505,1.391911626,1.4
128,1.375236415,1.405114651,1.387235403,1.4
129,1.370512802,1.401840091,1.382618666,1.4
130,1.370508557,1.398502111,1.377998114,1.4
131,1.364735511,1.395233631,1.372712374,1.4
132,1.375392017,1.3919698,1.369513512,1.4
133,1.386111515,1.388692498,1.365952015,1.4
134,1.369850004,1.385424137,1.36532557,1.4
135,1.364782795,1.3822335,1.367229104,1.4
136,1.354322047,1.378970623,1.364327192,1.4
137,1.354641702,1.375751495,1.360716462,1.4
138,1.354703921,1.372572184,1.356019258,1.4
139,1.349314998,1.369413733,1.352468491,1.4
140,1.344189194,1.366244793,1.349776506,1.4
141,1.338991379,1.363067627,1.346338749,1.4
142,1.338914523,1.359951258,1.34255302,1.4
