x,test_data,pred1,pred2,threshold,seed_0_fixed,seed_1_fixed,seed_2_fixed,seed_3_fixed,seed_4_fixed,seed_0_moving,seed_1_moving,seed_2_moving,seed_3_moving,seed_4_moving
0,1.855004521,1.855004521,1.855004521,1.4,1.855004521,1.855004521,1.855004521,1.855004521,1.855004521,1.855004521,1.855004521,1.855004521,1.855004521,1.855004521
1,1.843195532,1.843195532,1.843195532,1.4,1.843195532,1.843195532,1.843195532,1.843195532,1.843195532,1.843195532,1.843195532,1.843195532,1.843195532,1.843195532
2,1.839601842,1.839601842,1.839601842,1.4,1.839601842,1.839601842,1.839601842,1.839601842,1.839601842,1.839601842,1.839601842,1.839601842,1.839601842,1.839601842
3,1.830673604,1.830673604,1.830673604,1.4,1.830673604,1.830673604,1.830673604,1.830673604,1.830673604,1.830673604,1.830673604,1.830673604,1.830673604,1.830673604
4,1.832700207,1.832700207,1.832700207,1.4,1.832700207,1.832700207,1.832700207,1.832700207,1.832700207,1.832700207,1.832700207,1.832700207,1.832700207,1.832700207
5,1.828528885,1.828528885,1.828528885,1.4,1.828528885,1.828528885,1.828528885,1.828528885,1.828528885,1.828528885,1.828528885,1.828528885,1.828528885,1.828528885
6,1.82120119,1.82120119,1.82120119,1.4,1.82120119,1.82120119,1.82120119,1.82120119,1.82120119,1.82120119,1.82120119,1.82120119,1.82120119,1.82120119
7,1.815170011,1.815170011,1.815170011,1.4,1.815170011,1.815170011,1.815170011,1.815170011,1.815170011,1.815170011,1.815170011,1.815170011,1.815170011,1.815170011
8,1.804298052,1.804298052,1.804298052,1.4,1.804298052,1.804298052,1.804298052,1.804298052,1.804298052,1.804298052,1.804298052,1.804298052,1.804298052,1.804298052
9,1.82310023,1.82310023,1.82310023,1.4,1.82310023,1.82310023,1.82310023,1.82310023,1.82310023,1.82310023,1.82310023,1.82310023,1.82310023,1.82310023
10,1.812125352,1.812125352,1.812125352,1.4,1.812125352,1.812125352,1.812125352,1.812125352,1.812125352,1.812125352,1.812125352,1.812125352,1.812125352,1.812125352
11,1.804691638,1.804691638,1.804691638,1.4,1.804691638,1.804691638,1.804691638,1.804691638,1.804691638,1.804691638,1.804691638,1.804691638,1.804691638,1.804691638
12,1.79084435,1.79084435,1.79084435,1.4,1.79084435,1.79084435,1.79084435,1.79084435,1.79084435,1.79084435,1.79084435,1.79084435,1.79084435,1.79084435
13,1.783470723,1.783470723,1.783470723,1.4,1.783470723,1.783470723,1.783470723,1.783470723,1.783470723,1.783470723,1.783470723,1.783470723,1.783470723,1.783470723
14,1.780938613,1.780938613,1.780938613,1.4,1.780938613,1.780938613,1.780938613,1.780938613,1.780938613,1.780938613,1.780938613,1.780938613,1.780938613,1.780938613
15,1.77120904,1.77120904,1.77120904,1.4,1.77120904,1.77120904,1.77120904,1.77120904,1.77120904,1.77120904,1.77120904,1.77120904,1.77120904,1.77120904
16,1.7686304,1.7686304,1.7686304,1.4,1.7686304,1.7686304,1.7686304,1.7686304,1.7686304,1.7686304,1.7686304,1.7686304,1.7686304,1.7686304
17,1.75363048,1.764897752,1.764897752,1.4,1.762594938,1.763992906,1.766019583,1.769356966,1.762524366,1.762594938,1.763992906,1.766019583,1.769356966,1.762524366
18,1.746219742,1.761567473,1.761567473,1.4,1.758462429,1.759981751,1.762810946,1.765963316,1.760618925,1.758462429,1.759981751,1.762810946,1.765963316,1.760618925
19,1.737664734,1.757544947,1.756240964,1.4,1.752724886,1.756327629,1.759236455,1.763243794,1.756191969,1.752449512,1.755877495,1.757910609,1.760837197,1.754130006
20,1.731516674,1.753129268,1.747843504,1.4,1.753233671,1.749104261,1.750807405,1.761640787,1.750860214,1.750812173,1.746548891,1.745441914,1.750993013,1.745421529
21,1.708594989,1.747300958,1.742382669,1.4,1.748391151,1.744932532,1.745289087,1.752509117,1.745382905,1.746873736,1.742824316,1.73910737,1.743977427,1.739130497
22,1.711469957,1.739893865,1.731145287,1.4,1.739283919,1.737734556,1.739291787,1.743335962,1.739823103,1.735850215,1.733725071,1.726439476,1.72704947,1.732662201
23,1.707502137,1.739579034,1.728704977,1.4,1.734049797,1.736099601,1.741880536,1.747623324,1.738241911,1.729718685,1.731551051,1.727921724,1.727005839,1.727327585
24,1.749238206,1.735281086,1.718180919,1.4,1.730194092,1.731191278,1.740030646,1.741011381,1.733978033,1.721236706,1.721292019,1.715816736,1.712699413,1.719859719
25,1.732769715,1.730788183,1.718773532,1.4,1.729700089,1.7250247,1.733159542,1.737084031,1.728972554,1.725941896,1.718598127,1.714579344,1.716056943,1.718691349
26,1.722231333,1.726502395,1.710734272,1.4,1.723065853,1.721567035,1.729214787,1.735404849,1.723259449,1.714794159,1.710963964,1.702649355,1.70618093,1.719082952
27,1.711846299,1.719150734,1.719017053,1.4,1.717785597,1.714450359,1.721478224,1.724718809,1.717320681,1.722537041,1.712776303,1.715193748,1.722656369,1.721921802
28,1.699267835,1.716139174,1.697194123,1.4,1.712182403,1.71024859,1.71927762,1.726718307,1.712268949,1.696150303,1.696720004,1.696532488,1.694226623,1.702341199
29,1.694036644,1.709713888,1.705217719,1.4,1.705967903,1.704087496,1.712802768,1.719020247,1.706691027,1.702912092,1.696959853,1.718930125,1.706493378,1.700793147
30,1.681902708,1.704429555,1.691501332,1.4,1.701599836,1.699025631,1.708425403,1.711233616,1.701863289,1.686141014,1.688293219,1.698825002,1.695863605,1.688383818
31,1.676977062,1.701649642,1.693149185,1.4,1.696903825,1.695024014,1.705838323,1.713190079,1.69729197,1.692577839,1.686568499,1.705894232,1.693278074,1.687427282
32,1.665522931,1.695601463,1.680687666,1.4,1.693242311,1.689544916,1.699298263,1.702724934,1.693196893,1.677616358,1.680644035,1.687636018,1.679890037,1.677651882
33,1.657192458,1.691978884,1.677454352,1.4,1.686980367,1.685822725,1.698023081,1.699937463,1.689130783,1.674752951,1.676348925,1.680503845,1.67938292,1.676283121
34,1.648224156,1.687593722,1.670820546,1.4,1.682418466,1.680383921,1.689852953,1.700782537,1.684530735,1.669917583,1.671536326,1.67155695,1.673380256,1.667711616
35,1.63877015,1.681880283,1.659610295,1.4,1.679355502,1.675791979,1.684495449,1.689875364,1.679883122,1.67155385,1.659392476,1.649411201,1.660841346,1.656852603
36,1.627648691,1.67749877,1.650483942,1.4,1.675826311,1.670854926,1.679951072,1.685686588,1.675174952,1.660847306,1.655114174,1.638955593,1.647847295,1.649655342
37,1.622153702,1.673586154,1.64025979,1.4,1.670737505,1.665986538,1.675213695,1.685009956,1.670983076,1.646443486,1.646622419,1.632298231,1.630367279,1.645567536
38,1.614006651,1.668594432,1.641921115,1.4,1.664856553,1.661763906,1.674612761,1.674985647,1.666753292,1.64185214,1.64644599,1.638191342,1.637732744,1.645383358
39,1.676051615,1.664056277,1.636187244,1.4,1.660636187,1.65642345,1.667128086,1.67378211,1.662311554,1.641457558,1.639367223,1.631962061,1.627447367,1.640702009
40,1.649300643,1.660389066,1.630001259,1.4,1.656203389,1.652434826,1.664391518,1.671092033,1.657823563,1.642317533,1.632438779,1.625185251,1.617067695,1.632997036
41,1.632382992,1.654130435,1.629439116,1.4,1.652198315,1.647408605,1.658639193,1.659254789,1.653151274,1.634358406,1.629892945,1.622368336,1.620471001,1.64010489
42,1.616415972,1.650985551,1.63853066,1.4,1.647857666,1.64264977,1.653393745,1.662480116,1.648546457,1.642722368,1.632773995,1.632053018,1.641379714,1.643724203
43,1.610902838,1.646238613,1.610978842,1.4,1.643321276,1.638179302,1.650947452,1.654844403,1.643900633,1.613512754,1.611693025,1.610803485,1.601829052,1.617055893
44,1.595463869,1.639991832,1.619768095,1.4,1.638327599,1.63305831,1.643716812,1.645512223,1.639344215,1.620870233,1.613124371,1.635290861,1.616782546,1.612772465
45,1.72670744,1.638021517,1.603211045,1.4,1.63342011,1.628849506,1.64218235,1.650688052,1.634967566,1.599174738,1.602689981,1.607272506,1.605361938,1.601556063
46,1.716567392,1.631475353,1.608634662,1.4,1.629665613,1.623996019,1.636116266,1.636865377,1.63073349,1.609873891,1.603988051,1.621432185,1.605820298,1.602058887
47,1.695823557,1.627554226,1.606158638,1.4,1.625479698,1.619614601,1.632631302,1.633449316,1.626596212,1.595633388,1.599874496,1.605728626,1.607628345,1.621928334
48,1.677778319,1.624736786,1.646484351,1.4,1.620857477,1.615152121,1.628644228,1.636637568,1.622392535,1.629195213,1.625341654,1.642668843,1.67878449,1.656431556
49,1.66065869,1.617384291,1.607024622,1.4,1.616060495,1.610474586,1.621045947,1.62119031,1.618150115,1.587803125,1.598123312,1.613608241,1.616241455,1.619346976
50,1.666410927,1.614690161,1.632947302,1.4,1.612015486,1.6061759,1.619054794,1.622317791,1.613886833,1.624343753,1.605538487,1.662069321,1.657233357,1.615551591
51,1.646833617,1.610357094,1.60817306,1.4,1.608220577,1.601473689,1.612174153,1.620242357,1.609674692,1.588789105,1.598068714,1.617877722,1.637330294,1.598799467
52,1.625763993,1.604547811,1.623694968,1.4,1.603974104,1.597165823,1.609815121,1.606277347,1.605506659,1.603628874,1.606819868,1.659985781,1.632743478,1.615296841
53,1.612157741,1.601846051,1.622988248,1.4,1.599653006,1.592606664,1.605055809,1.610584974,1.601329803,1.591792583,1.615744114,1.646649122,1.645889521,1.614865899
54,1.605736682,1.596728516,1.622963905,1.4,1.595155478,1.588220716,1.59914279,1.603956461,1.597167134,1.601462603,1.615752101,1.635417461,1.641819358,1.620368004
55,1.673645315,1.591315651,1.613352632,1.4,1.590775609,1.583901167,1.596755981,1.592157364,1.592988133,1.600566387,1.612781882,1.627042651,1.618779182,1.60759306
56,1.640434857,1.588498068,1.609938764,1.4,1.58648622,1.579355955,1.589289188,1.598543644,1.588815331,1.623049378,1.605722904,1.592864513,1.629998565,1.598058462
57,1.613265332,1.583277368,1.602993775,1.4,1.58253324,1.575151324,1.587251663,1.58680439,1.584646225,1.61695683,1.604516268,1.570298076,1.615227938,1.607969761
